STR,INT,LUCK,PER,MIGHT,possibility,rank_up_success
6,0,5,3,7,0.55,0
3,10,2,10,0,3.575,1
10,2,5,7,8,1.5,1
7,5,6,6,6,2.895,1
4,6,10,8,2,4.4,1
6,5,9,6,7,3.78,1
9,5,9,2,6,3.805,1
2,5,2,2,10,1.57,1
6,2,6,7,7,1.69,1
10,5,2,4,5,1.74,1
10,7,1,3,8,2.26,0
7,10,9,7,4,5.785,1
4,10,3,5,2,3.87,1
3,1,7,1,2,1.405,1
7,4,8,3,0,3.005,1
7,0,6,10,7,0.945,1
2,0,0,3,1,-1.11,0
5,4,2,5,2,1.195,1
4,2,8,5,7,2.22,1
1,3,0,0,7,0.095,1
7,2,8,7,10,2.345,1
5,0,7,5,3,1.105,0
1,0,0,2,3,-1.125,0
4,4,5,8,4,2.12,1
0,5,4,1,5,2.06,1
9,2,5,10,4,1.465,1
5,8,9,7,6,4.955,1
8,4,4,9,1,1.9,0
0,7,5,2,6,3.18,1
10,0,4,4,9,0.38,1
10,4,10,5,6,3.76,1
9,2,4,9,0,1.115,1
2,0,3,5,6,-0.14,0
6,3,2,3,4,0.82,1
3,4,2,2,2,1.115,0
8,6,3,3,2,2.35,1
2,0,8,0,3,1.28,1
4,2,1,3,1,0.04,0
2,1,8,0,1,1.66,1
6,8,0,0,0,2.15,1
4,9,0,9,4,2.63,1
8,5,4,5,3,2.28,1
6,9,5,4,10,4.19,1
1,2,5,10,9,1.315,1
3,7,2,3,1,2.315,1
8,7,6,10,2,3.72,1
1,1,8,2,6,1.705,1
9,5,10,0,6,4.085,1
8,6,9,5,3,4.18,0
9,1,7,1,4,1.575,1
4,10,5,7,4,4.51,1
1,9,7,9,5,4.665,1
3,1,4,4,8,0.595,0
6,9,7,6,1,4.72,1
7,0,9,9,4,1.805,1
2,7,3,1,2,2.58,1
0,0,9,7,3,1.6,0
3,8,7,1,9,4.275,1
1,10,9,3,5,5.605,1
7,5,1,0,7,1.345,0
3,6,4,4,0,2.515,1
1,9,8,8,9,4.995,1
5,6,3,0,7,2.295,1
5,9,10,8,10,5.705,1
9,2,5,10,6,1.485,1
3,1,0,7,0,-0.655,0
5,8,8,5,1,4.585,1
1,7,0,6,2,1.705,1
9,9,4,2,0,3.845,1
1,6,3,0,8,2.205,1
9,8,2,4,7,2.935,0
3,3,5,1,1,1.595,1
7,3,1,4,8,0.595,0
6,0,2,7,6,-0.32,1
8,7,4,10,8,3.18,1
7,2,8,8,5,2.305,1
4,6,1,1,5,1.66,0
1,1,9,2,10,2.045,1
4,1,7,2,3,1.45,1
7,6,1,0,9,1.765,1
9,5,10,7,9,4.185,1
8,2,4,5,1,1.06,1
8,8,6,7,6,4.13,1
0,9,7,10,4,4.64,1
8,5,0,8,10,1.18,1
6,9,5,4,5,4.14,1
8,9,0,2,1,2.63,1
7,5,1,4,4,1.355,1
0,0,0,4,9,-1.07,0
7,3,10,4,3,3.245,1
7,9,4,2,8,3.875,1
10,5,9,10,5,3.9,1
2,5,8,9,1,3.35,1
0,10,5,3,0,4.33,1
7,4,10,8,4,3.695,1
2,0,10,9,8,2.02,1
2,7,0,8,5,1.78,1
0,4,0,1,9,0.5,0
10,4,1,7,6,1.08,1
4,6,8,7,4,3.81,1
9,3,2,6,9,0.975,0
6,5,0,7,5,1.07,1
9,3,4,2,4,1.485,1
8,2,6,5,10,1.75,1
6,6,5,0,8,2.93,1
8,7,0,6,5,1.91,1
7,3,4,0,10,1.475,1
1,1,4,8,7,0.575,0
0,9,5,0,1,3.91,0
6,2,2,0,8,0.43,0
6,0,4,6,4,0.25,1
7,7,6,1,6,3.645,1
4,2,4,4,9,1.03,1
2,9,4,7,0,3.72,1
7,6,4,7,9,2.735,1
5,9,9,2,4,5.285,1
10,4,9,6,9,3.5,1
2,9,2,2,1,3.08,1
0,4,0,5,5,0.5,1
2,6,4,5,10,2.6,1
4,8,8,2,0,4.52,1
2,4,0,6,2,0.53,1
0,0,2,2,4,-0.54,0
4,9,3,7,3,3.5,1
9,9,0,9,2,2.735,1
6,0,0,3,9,-0.93,0
6,1,7,0,4,1.49,0
10,5,1,3,10,1.48,1
8,8,7,6,7,4.43,1
9,7,6,10,10,3.825,1
9,4,9,3,3,3.385,1
2,0,9,5,0,1.6,1
6,6,1,8,10,1.83,0
0,4,5,0,6,1.96,0
3,5,5,4,7,2.485,1
3,6,2,10,2,1.995,1
4,2,10,6,5,2.81,1
6,9,1,0,1,2.86,1
6,2,0,3,6,-0.16,0
10,4,5,5,7,2.27,1
3,5,4,1,5,2.135,1
6,8,10,9,5,5.29,1
10,4,8,4,4,3.13,1
2,0,0,10,7,-0.98,0
5,3,6,9,0,2.015,1
1,4,4,0,9,1.715,1
9,9,4,5,3,3.905,1
8,9,1,5,3,2.98,1
4,4,10,3,2,3.55,1
5,6,2,7,2,2.015,1
3,3,6,3,3,1.935,1
10,0,5,7,10,0.72,1
9,4,1,7,0,0.995,1
6,6,5,4,10,2.99,1
8,9,1,3,10,3.03,1
6,9,1,1,1,2.87,1
0,5,1,10,8,1.28,1
0,4,10,2,9,3.51,1
8,3,2,2,1,0.83,0
10,1,1,3,4,-0.18,1
8,3,3,3,8,1.21,0
3,9,8,9,8,5.045,1
8,9,5,10,7,4.27,1
2,2,0,10,0,-0.25,0
6,9,7,4,0,4.69,1
5,0,6,3,8,0.835,1
7,7,9,10,10,4.675,1
10,4,2,9,7,1.41,1
8,3,0,7,9,0.36,1
4,7,4,5,8,3.03,1
0,6,3,5,6,2.21,1
2,1,9,7,2,2.04,1
9,0,7,6,2,1.205,1
7,10,0,9,1,3.075,1
10,3,9,10,4,3.09,1
5,7,0,9,2,1.835,0
7,1,3,7,5,0.395,1
8,2,7,1,1,1.92,1
3,0,4,8,2,0.175,0
0,0,1,0,4,-0.86,0
0,2,5,7,10,1.27,0
9,10,4,10,10,4.425,1
3,4,1,3,0,0.805,1
6,2,10,3,0,2.78,1
1,0,10,4,9,1.955,0
2,0,10,7,8,2.0,0
0,7,2,4,6,2.3,1
4,9,8,7,0,4.97,1
0,10,6,9,7,4.76,1
7,1,6,0,2,1.195,1
0,2,10,9,7,2.76,1
10,1,5,8,4,1.07,1
0,2,7,5,0,1.75,1
1,6,3,2,6,2.205,1
1,0,7,7,4,1.035,1
5,9,3,8,5,3.555,1
